accolades,aging,alcohol,average_age_of_vines,cheese_pairing,country,density,description,dessert_pairing,fermentation_&_maceration,grape_varietal,harvest_method,legumes_pairing,meat_pairing,mouth_attribute,name,nose_attribute,others_pairing,pasta_pairing,price,producer,product_type,production_method,psata_pairing,region,seafood_pairing,sku,vintage,volume(ml),winemakers,acidity
,"Best consumed in its youth, but will age gracefully for 10+ years.",11.5%,40-50 years,"Perfect pairing with cheese platters with dried fruit such as pears, peaches and apricots.",AUSTRALIA,"1,660/ha",Bright light straw colour with green tinges. Light and fresh nose with notes of fresh citrus and white flowers. A wonderful balance of fruit and acid with hints of minerality. Perfect balance of sweetness and acidity leaves your mouth with a refreshing finish. This slightly sweet version of our traditional Riesling is best served up ice cold.  Vintage in image may vary. Refer to wine facts for current vintage.,,Juice removed from skins as quickly as possible. Juice then settled and a long temperature controlled fermentation follows. Minimal movement of the wine assists in retaining maximum freshness.,Riesling,Mechanical,,Perfect pairing with Asian cuisine,,"PAULETTS ""Missy"" 2023 - Late Harvest Riesling - Clare Valley - Australia",,,,24.0,Paulett Wines,White Wine,6 tonnes/ha,,"Polish Hill River, Clare Valley",,AU109,2023,,Neil Paulett & Kelvin Budarick,Medium Acidity
"Vegan Wine, Zero Alcohol Wine",Stainless Steel,0.3%,,,AUSTRALIA,Various,"Flavoursome and bright, with generous notes of cherry and raspberry following through to a soft and plush finish. Enjoy chilled.",,Fermentation for 10 – 12 days at cool temperatues to retain fruit aromatics and varietal characteristics.,Shiraz,Machine Harvested,,,,"DEAKIN ESTATE ""Zero"" 2021- Shiraz - Australia",,,,24.0,Calabria Family Wines,Red Wine,16 - 18 Tonnes / Ha,,Victoria,,AU178,2021,750,Multiple Winemakers,Medium Acidity
"Vegan Wine, Zero Alcohol Wine",Stainless Steel,0.3%,,,AUSTRALIA,Various,,,"Fermented on skins for 7 days, carefully pumped over daily to ensure maximum colour and extraction of soft tannins required for this style.",,Machine Harvested,,,,"DEAKIN ESTATE ""Zero"" 2023 - Sauvignon Blanc - Australia",,,,24.0,Calabria Family Wines,Zero Alcohol Wine,14 - 16 Tonnes / Ha,,,,AU179,2023,750,Multiple Winemakers,Medium Acidity
,Yes,14.50%,30 years,Best enjoyed with aged cheese,FRANCE,,"Deep cherry red colour with ruby highlights. Crisp nose of fresh red fruit, floral and spicy dimension. Straightforward on the palate, taut with a clear fruity freshness. Full-bodied, deep and well-structured. A neat Castillon.",,Yes,,Manual,,"Best enjoyed with herb-cured prime rib, grilled chicken with oregano, roast duck.",,CHÂTEAU LARTIGUES 2022 - Castillon Côtes de Bordeaux - France,,,,24.9,Vignobles Blondy,Red Wine,,,,,BO79,2022,750,Vignobles Blondy (Family Blondy),Medium Acidity
,12 months on French oak barrel,12.5%,15 years,,SOUTH AFRICA,4800 vines/ha,"Golden yellow colour. An elegant style, with pronounced ripe fruit, spicy aromatics and lots of complex Chardonnay flavours, echoing ripe pear, fig, melon and buttery nuances. The palate folds together nicely on the finish where the French oak and flavours are rich and concentrated. Pair with mixed salads or salmon in creamy dill sauce. An absolute must is salmon with a creamy dill sauce. Serving suggestions: Best at a temperature between 10 and 12ï¿½C.   Vintage in image may vary. Refer to wine facts for current vintage.",,The juice is transferred to stainless steel tanks for controlled fermentation at 12°C for 14 days.,Chardonnay,Hand,,,,LINTON PARK 2020 - Chardonnay - Wellington - South Africa,"Citrus, Fruity, Spices, Toasted","Spinach salad, toasted almonds and bits of dried cranberries are tossed together in a bowl and dressed with a sweet and tangy vinegar and oil dressing full of sesame and poppy seeds.",,25.0,WELLINGTON WINES,White Wine,"12,000 bottles",,Wellington,An absolute must is salmon with a creamy dill sauce. Best at a temperature between 10° C and 12° C.,SA26,2020,750ml,ERIK VAN WYK,Medium Acidity
Vegan Wine,Oak aging for 6 months,13.5%,30 years,Great with cured cheese.,SPAIN,Depending on the vineyard,"Ruby red colour. On the nose it shows red fruit with hints of vanilla. Vibrant, fresh and fruity. Well structured and balanced.  Vintage in image may vary. Refer to wine facts for current vintage.",,"The must is fermented at a maximum  temperature of 28 °C. After fermentation,  the wine is transferred into oak casks to  slowly mature for 6 months.",Tempranillo,"Both Mechanic and Manual, depending on which vineyard","Great with pasta, tomato dishes.",,,FEDERICO PATERNINA 2022 - Tempranillo Rioja DOCa - Spain,,,,25.0,,Red Wine,6.500kg per hectare,,Rioja,,SP112,2022,750,"Marques de la Concordia Family of Wines, S.L.",Medium Acidity
,Aged in American oak barrels with regular stirring of fine lees,13%,,,FRANCE,,"Deep and bright gold in colour. The wine is complex and expressive in the nose. Very intense vanilla aromas, followed by elegant hints of caramel and honey. The palate is onctuous and rich, full of pears and cream. This wine is well balanced, with a nice acidity and a long, smooth finish.  Enjoy this wine slightly chilled with stuffed poultry, delicate fish dishes like Sole Meunière or black truffle ravioli with creamy Parmesan sauce.",,Gentle pressing in a pneumatic press preserves quality. Fermentation and ageing are done using medium-toasted American oak and temperatures are kept between 16°C to 18°C.,,Machine,Enjoy with black truffle ravioli with creamy Parmesan sauce.,Enjoy this wine slightly chilled with stuffed poultry.,,"CUVEE DISSENAY 2023 - Pays d'Oc - Chardonnay - Languedoc, France",,,,25.0,,White Wine,,,,Enjoy with delicate fish dishes like Sole Meunière.,RH179,2023,750,,Medium Acidity
Gilbert and Gaillard International Challenge Gold,Stainless steel,,20,Pair with soft cheese.,FRANCE,,"Château Rougier shows a beautiful deep red colour , with purplish tint. The nose develops red fruit notes (strawberries, blackcurrant). In the mouth, this wine has a good structure with fine and delicate tannins.",,,,,,Pair with grilled or roasted red meat.,,CHÂTEAU ROUGIER 2023 - Bordeaux - France,,,,25.0,,Red Wine,,,,,BO301,2023,750,,Medium Acidity
,12 months in French oak barrels,14.5%,15 years,,SOUTH AFRICA,4800 vines / ha,"Rich and full bodied with a generous core of dark berry fruit. A well-balanced wine with firm tannins. Luscious, smooth texture with evocative spice from French oak aging on aftertaste.    Vintage in image may vary. Refer to wine facts for current vintage.",,Maceration and controlled primary fermentation at 25°C for 5-7 days on the skins in stainless steel tanks with pump overs twice a day,Cabernet Sauvignon,Hand,,"A delectable demi-glace of slowly simmered lamb trimmings, garlic, onions, carrots, celery, port, red wine, chicken broth, rosemary, and mint.",,LINTON PARK 2020 - Cabernet Sauvignon  - Wellington - South Africa,,,,25.0,Wellington Wines,Red Wine,9 ton / ha,,Wellington,,SA27,2020,,Daniel Slabber,High Acidity
,Aged in a combination of French and American Oak for 6 months.,14%,Over 38 years old,Cured cheeses,SPAIN,"1,600 vines/ha in ""Las Gruesas""","Intense and shiny cherry-red colour. On the nose it blooms pleasant ripe red fruit aromas, sweet spices (liquorice). It has very elegant and integrated wooden notes that do not cover its intense fruitiness. It is well-balanced, fresh, with elegant soft tannins and good acidity. Long and very well structured.  Vintage in image may vary. Refer to wine facts for current vintage.",,10 days in stainless steel tanks at 24-26ºC.,Monastrell,Hand-picked,,"Pair with lamb, meat stews, grilled meats in general, spiced food (Mexican), assorted tapas.",,"CASTANO ""Hecula"" 2021 - Monastrell - Yecla, Murcia - Spain","Dark Fruit, Oak, Spices, Liquorice",,,26.0,Bodegas Castaño,,"2-4,000 kg/ha",,Yecla,,SP23,2021,,Mariano López,High Acidity
,No,<0.5%,,,GERMANY,,"Dry, crisp with refreshing acidity of green apple, pear and lime zest with after taste of minerality and flint.",,,"Muscat, Müller-Thurgau",,,Pair with poultry,,"SELBACH ""Funkelwürtz"" Zero Non-Alcoholic Sparkling Wine - Germany",,,,26.0,Selbach,Zero Alcohol Wine,On demand,,,Pair with lean fish,GE23,NV,750,"Johannes Selbach, Klaus-Rainer Schaefer",Medium Acidity
,Stainless steel before bottling,13.5%,15-20 years,Pair with cheese,ITALY,,"Deeply bright red colour with a complex and structured bouquet. Blackberries and forest berries are pronounced on the nose, while hints of violet and ethereal balsamic scents linger in the background. Fruity and round on the palate with well-balanced tannins. It’s the perfect complement to tasty first courses, braised, roasted and sautéed meats and medium-seasoned cheeses.",,"The best bunches which have to be dried on trellis or baskets inside the cellar are selected before harvest takes place. Before fermentation, the grapes are macerated for 4-6 days at a temperature between 0-4°C . Afterwards, the grapes are fermented for 10-14 days at a controlled temperature of max. 24°C to let to the fruitiest elements express themselves best.",Sangiovese,Machine,,Pair with roast meat,"Fruity, Structured, Tannic","POGGIO CAVALIERI ""Governo All'Uso Toscano"" - Chianti, Tuscany - Italy","Red Berries, Spices",,,26.9,Barbanera s.r.l.,Red Wine,,,Tuscany,,IT179,2022,750,Francesco Franchetti & Andrea Bernardini,Medium Acidity
,,13.0%,,"Semi-hard cheeses such as gouda, gruyere or edam.",ARGENTINA,,"Deep red color with aromas of red berries and hints of vanilla, well-balanced, smooth tannins and fresh in the mouth.",,Controlled fermentation at 24°-26°C during 14 days. Pneumatic pressing.,Cabernet Sauvignon,Hand harvesting,,"Red meats, cold cuts.",Medium-bodied,INTIS 2023 - Cabernet Sauvignon - Mendoza - Argentina,"Dark Fruit, Spices, Black Berries",,,28.0,"Bodegas La Rosa, Grupo Penaflor",Red Wine,100.000 LTS,,Mendoza,,AR53,2023,750,Stephen Damien McEwen,Medium Acidity
,,12.5%,9-10 years,,CHILE,3612 vines / ha,"Soft yellow, with greenish reflections, this wine shows a bright and vivid color. Intense nose where tropical-citrus fruits and slight notes of grass stand out. In the mouth it has a medium-high acidity, which gives freshness to this wine.",,"No maceration, fermentation at low turbidity and temperature, use of yeasts that extract the wine's aromatic potential.",Sauvignon Blanc,Manual and Mechanical,,,Herbal,"DON CAYETANO ""Classic"" 2023 - Sauvignon Blanc - Central Valley - Chile",,,,28.0,Viña Luis Felipe Edwards,White Wine,20 tons / ha,,Central Valley,"Serve with fish, seafood dishes",CL53,2023,750,Nicolas Bizzarri,Medium Acidity
,3 months in french and american oak.,13%,9-10 years,,CHILE,2486 vines / ha,"Intense cherry red in color. Fresh ripe fruits aromas of black plum, blackberry, blueberry and maraschino cherry, complemented by hints of vanilla and crème brûlée. The palate is fruity, with juicy and soft tannins that add to the balanced acidity.",,Fermentation: mixture of traditional method and thermovinification. Application of selected yeasts and nutrients. Gentle pumping over.  Maceration: 10 to 15 days with pomace.,Merlot,Machine and Manual,Pair with pasta dishes.,Pair with a variety of red and white meats.,"Balanced, Fruity, Soft Tannin","DON CAYETANO ""Classic"" 2023 - Merlot - Central Valley - Chile",Dark Fruit,,,28.0,Viña Luis Felipe Edwards,Red Wine,30 tons / ha,,Central Valley,,CL54,2023,750,Nicolas Bizzarri,Medium Acidity
,1 month in French oak.,,,,CHILE,,"Bright yellow color. With intense aromas of white-fleshed fruits and flowers such as jasmine and orange blossom, the wine presents notes of caramel and dairy products from its aging in wood.The palate is fresh, medium-high acidity, juicy and with good persistence.  Vintage in image may vary. Refer to wine facts for current vintage.",Good with salads,,Chardonnay,,,Pair with Chicken,,"DON CAYETANO ""Classic"" 2024 - Chardonnay - Central Valley - Chile",,,,28.0,Luis Felipe Edwards,White Wine,,,Colchagua,Delicious with all types of seafood,CL56,2024,750,Nicolas Bizzarri,Medium Acidity
,,10.0%,15 Years,,PORTUGAL,3500 vines/hec,"Citric and pale colour. Fruity fragrance with smooth marks of tropical fruits. Slightly acidic but fresh on the mouth. The end is smoothly sweet. Ideal on its own or to accompany fish, pasta, salads and seafood dishes. The ideal serving temperature is between 6-7 oC.  Vintage in image may vary. Refer to wine facts for current vintage.",,"After reception, the grapes go directly to the pneumatic press where the first must is extracted and then fermented at 16ºC giving origin to this fresh and elegant wine.","Azal, Loureiro, Pederna, Trajadura",The grapes are machine-harvested.,Pair with Salads,,Crisp,CASAL MENDES - Vinho Verde -  Baga - Portugal,"Citrus, Tropical Fruit",,,28.0,"ALIANCA - VINHOS DE PORTUGAL, SA",White Wine,,,Vinho Verde,"Ideal on its own or to accompany fish, pasta and seafood dishes",PO04,NV,,Francisco Antunes,Medium Acidity
Sweet Wine,,,,Soft cheeses.,ARGENTINA,,"A fresh wine with fruity notes that recalls cherries and raspberries. On the mouth, it offers a balanced sweetness and acidity.","Semi-sweet desserts, chocolate based desserts & dried fruits.",The alcoholic fermentation takes place in stainless steel tanks at 25 °C. – 27 °C. Addition of selected yeasts. Pneumatic pressing. Addition of rectified concentrated must . Filtering. Bottling.,,Machine Harvested,,,"Balanced, Fresh, Fruity, Sweet",INTIS 2023 - Sweet Red - Mendoza - Argentina,"Dark Fruit, Fruity, Red Fruits",,,28.0,Bodegas La Rosa (Grupo Penaflor),Sweet Wine,,,Mendoza,,AR57,2023,,Maria Belen Tudela,Medium Acidity
,,,,,CHILE,,"Garnet red color. The nose presents aromas of ripe red and black fruits, subtle notes of dried herbs and hints of chocolate, coffee and vanilla. The palate is firm and structured, with soft tannins, medium acidity and a fruity finish.",,,,,,,,"DON CAYETANO ""Classic"" 2023 - Cabernet Sauvignon - Central Valley - Chile",,,,28.0,Luis Felipe Edwards,Red Wine,,,,,CL59,2023,750,Nicolas Bizzarri,Medium Acidity
Sweet Wine,No,5.0%,260 meter above sea level,,ITALY,65 hl/ha,"Straw-yellow colour. Typical aromatic Moscato grape bouquet, intense with hints of flowers. Its taste is sweet, sapid, aromatic with light tail. Rich with good structure and long finish. Goes will all desserts, especially with hazelnut cake and zabaglione cream. Serve chilled.  Vintage in image may vary. Refer to wine facts for current vintage.","Goes will all desserts, especially with hazelnut cake and zabaglione cream","Moscato grapes are softy pressed and then the must is separated from the skins, decanted and conserved at 0 degrees, to impeach the fermentation. Then fermentation in  autoclave at a controlled temperature till 5% alc. by vol. During the fermentation there is the natural production of CO2 that is the little bubbles we find in this delicious wine. Straw-yellow colour. Typical aromatic Moscato grape bouquet, intense with hints of flowers. Its taste is sweet, sapid and aromatic with a light sage finish. Rich with good structure and length.",Moscato,Average yield per hectare: 65 hectolitres Harvesting of completely ripe grapes during the first ten days of September and placed in crates weighing about 20 Kg each.,,,"Light-bodied, Sweet","LA GIRONDA 2023 - Moscato D' Asti, Piedmont - Italy","Citrus, Floral",,,28.0,La Gironda,Sweet Wine,,,Piedmont,,IT108,2023,,Susanna Galandrino,Medium Acidity
,4-5 years,11.5%,30 years,,GERMANY,"5,500 vines/ha","Classic is a own category in the German quality designation system. Grapes for Classic must meet higher ripeness requirements and can only be made from traditional varieties which are typical for the region, i.e. Riesling for the Mosel. Classic wines must always be made in a harmonious dry style only.  A medium-bodied, elegant dry wine. Crisp and full of flavour hinting of ripe apples and a touch of the slate soil it was grown on. It i a very well-balanced, dry, very food-friendly wine.  Vintage in image may vary. Refer to wine facts for current vintage.",,"No maceration, cold fermentation",Riesling,By Hand,Salads.,"Poultry, smoked meats.","Dry, Medium-bodied","SELBACH 2022 - Riesling Classic - Mosel, Germany","Fruity, Mineral, Apple",,,29.9,J. & H. Selbach GmbH & Co. KG,White Wine,"80,000 bottles",,Mosel,"Seafood, fish.",GE03,2022,,"Johannes Selbach, Christian Vogt",Medium Acidity
James Suckling 91 Points,9 months in French oak barrels.,13.5%,,Pair with matured cheese,PORTUGAL,,"Intense ruby with brownish tones. Intense notes of red fruits jam, dry fruits and toasted notes. Fruity, soft, distinct mouth volume, elegant and lingering finish. It ́s Ideal to consume with matured cheeses and a structured and delicate confection of Mediterranean, Chinese, Indian and African cuisine. Serve with steamed or grilled red meats, game and cheese structured. Drink at 18oC.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Crush with total destemming, alcoholic fermentation at 26°C and prolonged skin maceration.","Touriga Nacional, Alfrocheiro, Aragonez",,,"Pair with steamed or grilled red meat, game","Elegant, Fruity, Medium Length, Soft Tannin",CABRIZ 2018 - Reserva - Dão DOC - Portugal,"Jamy, Red Fruits, Toasty",,,29.9,Quinta de Cabriz (by Global Wines),Red Wine,200 000,,DÃO,,PO20,2018,750,Osvaldo Amado,Medium Acidity
,"The wine is bottled young to preserve its fresh, vibrant fruit flavours",12.5%,10 - 12 years,,NEW ZEALAND,25 vines per hectare,"The Overstone Sauvignon Blanc has intense tropical fruit and citrus aromas, with a touch of gooseberry. Balance, natural acidity creates a refreshing, lengthy finish. A great aperitif or seafood wine made for drinking young. Serve lightly chilled. Recommended serving temperature 6-8°C.",Enjoy as an aperitif with friends,"Cool ferment in stainless steel -  After pressing the juice is cool fermented in stainless steel to retain the aromatic fruit characters. The wine is bottled young to preserve its fresh, vibrant fruit flavours.",Sauvignon Blanc,Machine harvested,,Rich vegetarian dishes and lightly spiced cuisine.,"Balanced, Crisp, Powerful, Spicy",OVERSTONE 2022 - Sauvignon Blanc - Marlborough - New Zealand,"Citrus, Fruity, Tropical Fruit",,,29.9,90 PLUS LTD,White Wine,,,Marlborough,Delicious with seafood,NZ03,2022,750ml,Nigel Davies,Medium Acidity
"Robert Parker Wine Advocate 90 Points, James Suckling 91 Points",,13.50%,5 to 35 years,Mozzarella & other light/mild Italian cheeses.,ITALY,,"Straw yellow with a slight green shimmer. Fruity aromas of pear and apple. On the palate, soft, refined & elegant. It is appreciated for its freshness, nice acidity and pleasant, lingering aftertaste.",,Fermentation and partially malolactic fermentation in stainless-steel tanks,Pinot Grigio,Manual,"Fresh tomato carpaccio, summer salads.",,"Balanced, Crisp, Fresh, Soft Tannin",ST MICHAEL-EPPAN - Südtirol Alto Adige 2023 - Pinot Grigio - Italy,"Fruity, Apple",,,29.9,St.Michael Eppan,White Wine,,,Alto Adige,"Fresh seafood, white fish, light pastas.",IT158,2023,750ml,HANS TERZER,Medium Acidity
Descorchados 92 Points,No,13.8%,20 years,,CHILE,3500 plants per hectare,"The nose has aromas of ripe nectarine and apricot, also hazelnut, cobnut and almond. In the mouth it is juicy with lovely crispness, with good volume and generous finish with a touch of honey. It has a certain touch of creaminess but it is anything but buttery.  Vintage in image may vary. Refer to wine facts for current vintage.",,20 days of fermentation with commercial yeast,Chardonnay,Mechanic by night,Salads.,,"Crisp, Juicy","WILLIAM FEVRE ""Espino"" 2023 - Chardonnay - Maipo Valley, Chile","Nutty, Stone Fruit",,,29.9,William Fevre Chile,White Wine,8 tons per hectare,,Maipo Valley,"Fish, mixed seafood, baked salmon, fresh ceviche.",CL09,2023,750ml,Cristian Aliaga,Medium Acidity
,A small portion of the blend is aged in burgundy barrels from Francois Frere for about four months.,13.5%,20yrs,"Light cheeses, goat cheese.",CHILE,3.300 vines/hectare,"Nice ruby color. Behind its characteristic nose of cherry and strawberries it reveals a hint of mineral notes, tomato plant and a slightly spicy finish. In the palate,  the attack is subtle, with a  kind but sufficient tannic structure, a refreshing acidity and a mid to long length.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Our Pinot Noir is produced according to the ancient and traditional Burgundy ‘pigeage’ technique, using small open tanks of 8,000 liters where it is made ‘by hand’. After harvesting in the cool of the mountain morning the tanks are macerated for about 5 days at a temperature of 8°C. Fermentation at between 18-24°C takes place over about a week.",Pinot Noir,Manually in 20 kg boxes,Grilled vegetables (e.g. grilled asparagus).,"Chicken-based dishes, game meat (e.g. Rabbit with mustard sauce), finger food.","Fresh, Light-bodied, Medium Length","WILLIAM FÈVRE ""Espino"" 2022 - Pinot Noir - Casablanca Valley - Aconcagua Valley - Chile","Herbal, Mineral, Red Berries, Spices",,,29.9,William Fevre Chile,Red Wine,7 tons per hectare,,Maipo Valley,,CL10,2022,,Cristian Aliaga,Medium Acidity
Vegan Wine,,12%,10-15 years,,ITALY,"3,000-4,000/ha","Brilliant yellow colour. Enticing bouquet featuring fresh pineapple, green apple and bread crust. In the mouth it is tasty, elegant with an aftertaste of sagebrush flowers. Perfect companion for appetizers and light meals with white meats or fish.",,Temp control in acciao senza maceraz,Pinot Grigio,Machine,,"Perfect as aperitif, especially indicated for appetizers, soups, fish and white meats.","Crisp, Easy-drinking, Fresh","CASA DEFRÀ 2023 - Pinot Grigio delle Venezie DOC, Veneto - Italy","Citrus, Apple, Toasty",,,30.0,Cielo e Terra SPA,White Wine,,,Veneto,,IT04,2023,,Massimo Marin,- High Acidity
